Egypt,394.78,360.76,313.01,268.39,235.66,200.43,155.32,113.58,80.64,61.67,45.82,36.28,29.8,20.39
El Salvador,271.36,250.21,217.4,185.26,158.98,128.4,104.02,79.79,57.79,41.15,30.69,22.5,18.13,13.49
Equatorial Guinea,320.89,318.05,304.56,276.71,251.59,230.61,201.65,193.87,204.69,209.52,146.55,105.32,84.42,59.16
Eritrea,323.85,309.55,291.44,280.1,257.64,236.35,216.2,195.44,193.26,123.32,99.02,82.29,70.95,51.33
Estonia,58.35,49.19,41.74,30.03,25.51,25.49,25.71,22.35,19.64,18.35,12.56,8.23,5.04,3.18
Ethiopia,337.01,321.2,309.1,294.9,278.65,268.45,249.15,228.43,208.41,182.84,153.48,120.3,92.31,60.58
Fiji,116.24,93.94,76.66,63.16,56.07,48,39.45,33.26,28.74,28.39,29.11,30.14,29.33,27.9
Finland,57.1,40.26,29.19,23.76,18.27,14.53,9.99,8.15,7.61,5.52,4.87,4.47,3.26,2.4
France,62.06,44.84,30.49,24.07,20.46,17.64,14.15,11.37,10.05,6.89,6.09,4.91,4.65,4.25
Gabon,251.84,247.25,229.78,204.37,180.79,149.83,124.36,103.66,92.11,82.85,78.17,73.85,62.8,40.51
Gambia,275.02,261.46,247.81,229.33,204,183.96,161.45,139.5,124.18,108.22,93.17,77.73,64.06,51.2
Georgia,236.15,195.52,155.16,123.41,96.9,82.41,62.8,51.53,46.01,44.31,37.93,25.63,17.17,12.34
Germany,72.49,56.33,45.61,31.68,27.99,24.57,17.13,12.31,9.76,7.22,5.88,5.19,4.56,3.88
Ghana,295.41,274.17,237.84,214.41,196.44,174.84,159.6,151.05,129.97,118.35,108.58,98.34,84.97,62.76
Greece,66.94,52.55,46.53,40.08,33.89,27.98,21.57,16.4,11.38,9.44,6.86,4.93,4.65,4.92
Greenland,155.36,128.23,95.84,81.94,61.8,52.34,48.01,41.97,34.85,27.35,21.23,18.53,16.97,14.79
Grenada,141.41,120.09,101.69,79.69,67.64,60.37,47.28,33.89,25.4,20.45,18.2,16.31,15.67,15.55
Guam,52.6,46.24,38.48,36.16,30.86,25.13,18.23,14.36,13.13,12.45,12.24,13.9,14.79,14.78
Guatemala,271.77,250.24,222.62,204.9,182.66,152.61,130.22,106.71,82.27,65.36,53.67,43.36,35.41,26.83
Guinea,361.59,348.26,333.56,317.23,308.51,297.25,275.74,255.27,231.67,207.13,180.12,156.28,134.04,103.06
Guinea-Bissau,459.14,426.46,392.78,367.76,336.22,304.8,279.37,258.62,226.74,200.41,175.59,151.87,112.62,80.62
Guyana,187.1,160.66,128.53,109.53,97.52,86.87,70.52,63.65,58.08,49.28,42.61,41.31,35.39,28.64
Haiti,390.68,362.73,337.33,317.05,291.52,255.51,216.81,181.68,155.99,134.7,108.98,94.43,171.66,63.54
High SDI,77.32,57.9,47.66,35.95,29.05,22,16.87,13.47,11.21,8.8,7.52,6.88,5.89,5.26
High-income,73.9,55.62,47.53,38.18,31.86,24.29,18.1,14.12,12.1,9.56,8.25,7.46,6.48,5.73
High-income North America,39.31,35.06,34.03,30.73,26.41,20.56,16.62,13.8,11.99,9.7,8.98,8.85,7.7,7.23
High-middle SDI,170.1,150.43,209.46,110.98,91.2,72.66,58.24,46.53,38.44,33.34,27.76,21.24,16.55,11.54
Honduras,250.37,215.23,190.55,166.09,138.42,117.78,92.58,74.46,57.41,48.41,38.78,31.05,23.67,15.92
Hungary,110.67,72.55,58.13,48.59,43.94,39.99,27.27,25.27,18.99,13.57,11.47,8.19,6.27,5.23
Iceland,33.23,27.84,24.65,22.01,18.05,14.89,10.86,8.47,7.19,7.15,4.43,3.53,2.94,2.46
India,273.89,243.79,247.99,250.85,206.38,186.27,155.91,130.69,108.79,92.72,80.25,67.93,56.32,40.83
Indonesia,309.98,281.86,245.55,217.59,186.71,159.43,136.1,114.93,93.33,73.53,59.09,47.65,39.78,29.15
Iran,469.96,441.47,392.89,330.78,246.5,157.05,110.13,84.65,69.83,53.06,43.61,35.8,29.57,15.91
Iraq,244.01,210.54,185.96,159.75,135.42,108.23,83.66,71.89,56.22,53.21,44.4,39.89,33.14,25.65
Ireland,57.73,46.35,37.4,31.04,24.67,21.93,15.06,11.44,10.51,8.14,7.83,5.28,4.71,3.73
Israel,44.54,48.37,39.52,33.88,28.76,29.11,19.34,14.77,12.49,8.98,7.3,5.93,4.87,3.85
Italy,84.3,64.99,56.37,44.76,36.52,25.87,18.59,13.34,10.4,7.96,5.76,4.84,4.21,3.5
Jamaica,154.61,123.63,101.35,80.33,67.7,52.86,40.92,32.87,28.18,25.15,21.37,18.06,17.5,15.6
Japan,97.75,58.74,42.81,26.3,19.47,14.26,10.88,8.15,7,6.35,4.81,4.03,3.42,2.76
Jordan,170.72,158.89,135.31,109.42,88.33,74.33,55.55,42.46,35.18,31.11,28.04,22.75,18.87,14.91
Kazakhstan,144.99,125.76,104.17,85.11,68.73,61.46,55.56,48.64,42.67,44.54,39.76,31.96,24.68,15.82
Kenya,250.95,218.43,187.08,166.09,152.09,133.78,115.67,104.89,101.08,102.56,93.77,76.7,61.55,48.15
Kiribati,212.14,198.45,178.5,156.58,136.19,109.58,97.33,95.2,88.17,78.55,69.69,62.83,55.54,45.25
Kuwait,112.2,96.11,71.1,59.15,53.06,51.24,37.24,24.75,21.19,14.31,12.09,11.62,11.78,8.36
Kyrgyzstan,264.48,226.1,188.2,155.32,125.43,109.74,94.84,81.46,66.11,57.1,49.19,42.58,29.84,22.07
Laos,395.89,378.94,360.55,336.95,309.3,275.86,249,215.93,196.11,174.48,148.9,120.66,92.02,63.44
Latin America and the Caribbean,251.85,221.51,192.84,166.83,147.93,123.51,101.41,80.72,62.33,49.25,39,31.84,28.83,20.4
Latvia,51.84,44.11,36.28,27.52,25.15,28.02,24.06,19.43,19.01,20.96,14.72,11.35,8.38,5.54
Lebanon,128.32,115.69,98.84,80.35,66.42,61.74,43.89,41.24,29.89,23.36,17.26,13.11,10.21,7.81
Lesotho,180.32,172.07,161.67,160.2,150.04,132.11,110.19,99.29,94.48,96.4,107.35,115.88,92.66,76.76
Liberia,428.84,404.79,381.5,348.79,310.4,277.82,250.96,236.13,232.06,224.84,177.89,122.17,98.28,78.9
Libya,382.43,301.9,237.24,169.65,113.84,83.02,62.47,49.91,41.67,33.35,27.95,22.55,17.68,14.6
Lithuania,85.61,74.79,51.67,33.24,25.54,26.23,22.02,19.55,15.97,16.27,11.88,9.59,6.26,5.17
Low SDI,333.68,304.58,295.81,284.02,255.68,234.11,209.99,188.01,163.81,144.73,125.83,105.68,89.55,67.25
Low-middle SDI,295.59,270.93,306.3,236.72,207.3,184.06,157.1,136.21,117.76,107.01,97.28,85.44,72.09,55.63
Luxembourg,62.07,53,42.57,32.58,25.35,18.48,14.89,12.46,9.89,6.81,5.3,3.87,3.07,2.37
Macedonia,218.71,239.37,180.37,142.9,103.33,74.93,57.78,49.63,37.02,26.15,16.11,14.34,10.18,10.22
Madagascar,230.83,218.25,210.24,201.58,190.58,177.42,173.21,173.32,154.12,135.18,115.31,97.82,92.45,78.11
Malawi,427.96,410.26,390.01,370.81,345.5,308.87,273.65,249.71,228.67,199.05,165.25,125.08,97.81,70.85
Malaysia,163.27,127.65,110.69,76.04,64.24,48.71,35.74,26.74,19.15,14.4,10.13,8.77,7.89,7.79
